"Date","Open","High","Low","Close"
"08 Jul 2021","10510.35","10558.25","10425.95","10456.00"
"07 Jul 2021","10565.30","10598.00","10493.65","10552.50"
"06 Jul 2021","10755.15","10816.85","10527.50","10559.70"
"05 Jul 2021","10731.55","10810.25","10710.80","10746.45"
"02 Jul 2021","10741.45","10743.80","10646.20","10685.50"
"01 Jul 2021","10620.15","10744.10","10619.55","10687.70"
"30 Jun 2021","10637.75","10699.50","10583.00","10600.35"
"29 Jun 2021","10712.15","10754.95","10588.25","10612.25"
"28 Jun 2021","10746.10","10746.10","10676.90","10709.90"
"25 Jun 2021","10644.65","10754.90","10643.90","10706.80"
"24 Jun 2021","10604.55","10638.25","10550.85","10618.45"
"23 Jun 2021","10599.50","10684.95","10551.15","10588.50"
"22 Jun 2021","10456.00","10614.30","10451.50","10540.45"
"21 Jun 2021","10319.10","10420.65","10276.10","10401.15"
"18 Jun 2021","10540.75","10552.05","10229.10","10443.75"
"17 Jun 2021","10618.70","10664.95","10484.95","10523.00"
"16 Jun 2021","10742.50","10772.25","10644.55","10669.45"
"15 Jun 2021","10768.20","10803.25","10739.40","10754.40"
"14 Jun 2021","10755.35","10767.80","10570.85","10753.10"
"11 Jun 2021","10772.35","10807.15","10717.25","10765.50"
"10 Jun 2021","10773.85","10781.50","10681.90","10722.70"
"09 Jun 2021","10889.15","10913.95","10670.55","10734.40"
"08 Jun 2021","10836.05","10889.65","10762.15","10873.90"
"07 Jun 2021","10814.25","10888.25","10791.20","10806.55"
"04 Jun 2021","10672.85","10749.15","10634.90","10735.75"
"03 Jun 2021","10683.25","10690.45","10600.65","10647.65"
"02 Jun 2021","10431.55","10671.60","10413.30","10647.75"
"01 Jun 2021","10507.30","10619.00","10443.75","10457.85"
"31 May 2021","10467.00","10513.10","10344.95","10491.85"
"28 May 2021","10537.60","10573.95","10429.40","10510.25"
"27 May 2021","10467.25","10561.30","10441.35","10486.00"
"26 May 2021","10423.45","10473.45","10399.10","10437.80"
"25 May 2021","10398.65","10424.25","10363.55","10384.30"
"21 May 2021","10276.10","10332.00","10215.10","10312.40"
"20 May 2021","10253.60","10297.15","10158.90","10226.40"
"19 May 2021","10231.85","10303.00","10179.45","10249.10"
"18 May 2021","10102.40","10344.50","10070.25","10324.00"
"17 May 2021","9844.15","10037.80","9785.90","10001.70"
"14 May 2021","10059.20","10061.50","9777.50","9810.45"
"12 May 2021","9992.00","10066.80","9913.50","10013.65"
"11 May 2021","9874.90","10029.85","9852.20","9995.10"
"10 May 2021","9856.65","9984.80","9834.50","9973.05"
"07 May 2021","9858.35","9907.45","9767.00","9819.45"
"06 May 2021","9669.20","9826.55","9664.30","9815.10"
"05 May 2021","9631.05","9662.10","9547.75","9643.05"
