"Date","Open","High","Low","Close"
"08 Jul 2021","35603.25","35811.00","35134.65","35274.10"
"07 Jul 2021","35550.60","35795.75","35427.65","35771.30"
"06 Jul 2021","35173.60","35807.45","35165.55","35579.15"
"05 Jul 2021","35010.95","35234.30","34926.40","35212.00"
"02 Jul 2021","34728.10","34894.45","34632.60","34809.90"
"01 Jul 2021","34866.00","34917.65","34650.95","34684.00"
"30 Jun 2021","35001.90","35214.90","34730.45","34772.20"
"29 Jun 2021","35320.45","35337.45","34913.70","35010.30"
"28 Jun 2021","35488.20","35576.95","35236.45","35359.45"
"25 Jun 2021","34916.65","35491.95","34915.85","35364.65"
"24 Jun 2021","34687.70","34935.30","34592.35","34827.00"
"23 Jun 2021","34911.85","34937.65","34525.45","34574.00"
"22 Jun 2021","35084.90","35281.90","34664.35","34745.00"
"21 Jun 2021","34109.45","34927.65","33937.50","34871.30"
"18 Jun 2021","34735.15","34787.40","33908.95","34558.00"
"17 Jun 2021","34619.80","34882.40","34458.10","34605.40"
"16 Jun 2021","35196.25","35380.00","34916.20","35003.50"
"15 Jun 2021","35038.05","35317.40","34917.90","35247.75"
"14 Jun 2021","34936.55","34995.15","34374.35","34950.60"
"11 Jun 2021","35324.65","35344.00","34891.30","35047.40"
"10 Jun 2021","34903.60","35165.65","34734.40","35131.20"
"09 Jun 2021","35114.25","35402.45","34641.20","34800.50"
"08 Jun 2021","35433.80","35449.50","34962.65","35085.30"
"07 Jun 2021","35460.80","35545.85","35338.55","35443.65"
"04 Jun 2021","35657.85","35810.90","35176.15","35291.65"
"03 Jun 2021","35536.45","35723.70","35413.00","35649.00"
"02 Jun 2021","35271.60","35415.85","35070.30","35373.75"
"01 Jun 2021","35639.75","35713.90","35241.20","35337.20"
"31 May 2021","35097.45","35584.30","34930.10","35526.65"
"28 May 2021","35345.65","35436.65","34977.20","35141.45"
"27 May 2021","34664.20","35220.80","34529.70","35095.05"
"26 May 2021","34757.15","34897.95","34462.50","34684.20"
"25 May 2021","35095.00","35125.85","34410.40","34662.00"
"21 May 2021","33559.80","34694.45","33559.75","34606.90"
"20 May 2021","33692.55","33833.70","33273.95","33334.55"
"19 May 2021","33717.10","33959.30","33608.25","33685.20"
"18 May 2021","33893.10","34142.85","33730.45","33922.40"
"17 May 2021","32437.85","33506.90","32318.70","33459.25"
"14 May 2021","32495.15","32622.65","32115.50","32169.55"
"12 May 2021","32717.65","32747.70","32352.30","32452.30"
"11 May 2021","32640.95","33154.30","32611.70","32872.20"
"10 May 2021","33175.30","33297.60","33028.15","33142.40"
"07 May 2021","33041.65","33259.15","32771.35","32904.50"
"06 May 2021","32900.75","32956.35","32564.00","32827.80"
"05 May 2021","32577.10","32862.15","32068.55","32783.70"
"04 May 2021","32610.40","33011.55","32191.40","32270.35"
"03 May 2021","32368.55","32566.60","31906.55","32465.75"
"30 Apr 2021","33112.40","33455.25","32663.40","32781.80"
"29 Apr 2021","33901.60","34287.00","33304.60","33714.50"
"28 Apr 2021","32865.50","33777.70","32840.30","33722.80"
"27 Apr 2021","32228.95","32807.10","32152.95","32735.35"
"26 Apr 2021","32316.65","32603.70","32144.80","32275.15"
"23 Apr 2021","31490.60","32148.40","31377.15","31722.30"
"22 Apr 2021","30763.50","31834.50","30555.25","31782.60"
"20 Apr 2021","31568.95","31731.65","30891.00","31112.70"
"19 Apr 2021","30993.45","31304.30","30405.65","31208.40"
"16 Apr 2021","32161.45","32325.15","31911.90","31977.45"
"15 Apr 2021","31929.10","32187.05","31406.40","32112.85"
"13 Apr 2021","30901.80","31885.45","30722.85","31771.60"
"12 Apr 2021","31637.90","31698.05","30520.30","30792.00"
"09 Apr 2021","32636.90","32972.15","32329.95","32448.05"
"08 Apr 2021","33154.20","33306.80","32704.75","32782.85"
"07 Apr 2021","32529.70","33191.70","32141.55","32991.20"
"06 Apr 2021","32915.65","33007.65","32338.40","32501.35"
"05 Apr 2021","33649.15","33697.75","32330.15","32678.85"
"01 Apr 2021","33588.00","33949.15","33208.75","33858.00"
"31 Mar 2021","33764.80","33773.10","33151.80","33303.90"
"30 Mar 2021","33615.90","33990.80","33564.55","33875.10"
"26 Mar 2021","33605.05","33610.65","33166.10","33318.20"
"25 Mar 2021","33420.75","33550.15","32415.25","33006.45"
"24 Mar 2021","33894.70","33970.65","33203.40","33293.25"
"23 Mar 2021","33747.95","34360.05","33622.00","34184.40"
"22 Mar 2021","34088.40","34148.90","33389.15","33603.45"
"19 Mar 2021","33590.40","34355.40","33361.00","34161.60"
"18 Mar 2021","34577.50","34759.85","33597.55","33856.80"
"17 Mar 2021","34905.05","35100.50","34126.85","34229.25"
"16 Mar 2021","35352.00","35405.05","34744.60","34804.60"
"15 Mar 2021","35544.25","35544.25","34430.65","35182.55"
"12 Mar 2021","36497.35","36497.35","35188.05","35496.65"
"10 Mar 2021","36112.25","36176.90","35764.35","35938.30"
"09 Mar 2021","35705.90","36077.80","35544.95","35865.65"
"08 Mar 2021","35462.45","35827.3","35090.75","35275.75"
"05 Mar 2021","35458.50","35616.05","34893.25","35228.15"
"04 Mar 2021","35575.65","36316.40","35519.25","35802.50"
"03 Mar 2021","35754.45","36455.15","35570.55","36368.05"
"02 Mar 2021","35458.15","35747.05","35002.45","35419.70"
"01 Mar 2021","35374.25","35581.10","34983.75","35296.00"
"26 Feb 2021","35806.65","35902.90","34658.70","34803.60"
"25 Feb 2021","36763.15","37232.20","36494.00","36549.00"
"24 Feb 2021","35205.40","36567.65","35060.65","36452.30"
"23 Feb 2021","35540.55","35680.85","34976.00","35116.95"
"22 Feb 2021","35874.30","36128.90","35097.55","35257.20"
"19 Feb 2021","36371.55","36656.20","35584.60","35841.60"
"18 Feb 2021","37088.75","37108.75","36367.45","36587.00"
"17 Feb 2021","37041.95","37331.45","36764.25","36910.95"
"16 Feb 2021","37492.60","37708.75","36762.75","37098.40"
"15 Feb 2021","36501.40","37449.90","36405.10","37306.25"
"12 Feb 2021","35736.60","36322.80","35700.25","36108.90"
"11 Feb 2021","35687.25","36009.45","35573.30","35752.10"
"10 Feb 2021","36042.35","36227.20","35428.15","35783.10"
"09 Feb 2021","36058.80","36477.15","35636.85","36056.50"
"08 Feb 2021","-","-","-","35983.65"
"05 Feb 2021","35634.95","36615.20","35545.00","35654.50"
"04 Feb 2021","34548.90","35413.15","34238.90","35344.80"
"03 Feb 2021","34555.60","34908.05","34011.90","34758.45"
"02 Feb 2021","33589.05","34652.50","33583.15","34267.90"
"01 Feb 2021","-","-","-","33089.05"
"29 Jan 2021","30700.65","31111.95","30254.55","30565.50"
"28 Jan 2021","29812.30","30464.40","29687.70","30358.30"
"27 Jan 2021","31236.25","31287.05","30165.65","30284.55"
"25 Jan 2021","31507.15","31697.55","31013.65","31198.40"
"22 Jan 2021","32088.00","32131.40","31119.90","31167.25"
"21 Jan 2021","32732.80","32842.30","31985.55","32186.90"
"20 Jan 2021","32388.95","32607.45","32322.90","32543.70"
"19 Jan 2021","32082.90","32464.95","31863.95","32424.85"
"18 Jan 2021","32275.15","32441.50","31650.90","31811.75"
"15 Jan 2021","32508.90","32544.80","32044.35","32246.80"
"14 Jan 2021","32526.70","32718.95","32442.35","32519.75"
"13 Jan 2021","32546.60","32683.50","32148.25","32574.65"
"12 Jan 2021","31835.05","32397.95","31725.85","32339.00"
"11 Jan 2021","32280.30","32288.45","31836.95","31998.90"
"08 Jan 2021","32298.05","32298.05","32002.95","32084.20"
"07 Jan 2021","32129.80","32177.40","31911.50","31956.00"
"06 Jan 2021","31839.95","31982.30","31548.15","31797.90"
"05 Jan 2021","31041.10","31767.65","30935.55","31722.25"
"04 Jan 2021","31485.15","31489.60","30893.65","31212.45"
"01 Jan 2021","31297.30","31384.35","31188.25","31225.85"
"31 Dec 2020","31295.90","31409.50","31088.10","31264.05"
"30 Dec 2020","31479.80","31510.25","31007.15","31303.05"
"29 Dec 2020","31006.90","31359.35","31002.60","31322.50"
"28 Dec 2020","30558.85","30929.05","30538.15","30880.95"
"24 Dec 2020","30071.65","30545.85","30007.80","30402.20"
"23 Dec 2020","29560.75","29941.40","29446.00","29883.30"
"22 Dec 2020","29607.50","29711.15","28976.75","29625.95"
"21 Dec 2020","30595.80","30607.50","29201.20","29456.45"
"18 Dec 2020","30841.85","30854.05","30374.50","30714.65"
"17 Dec 2020","30791.20","30945.20","30643.90","30847.05"
"16 Dec 2020","30920.35","30932.25","30587.10","30698.40"
"15 Dec 2020","30805.40","30805.85","30345.75","30691.05"
"14 Dec 2020","30735.15","30845.80","30624.25","30745.90"
"11 Dec 2020","30555.30","30811.80","30328.45","30604.85"
"10 Dec 2020","30545.35","30610.00","30202.10","30510.35"
"09 Dec 2020","30335.05","30807.25","30326.70","30709.40"
"08 Dec 2020","30300.30","30363.80","30025.20","30261.90"
"07 Dec 2020","30062.60","30354.20","29950.60","30211.55"
"04 Dec 2020","29573.40","30162.30","29473.50","30052.40"
"03 Dec 2020","29728.90","29813.00","29379.40","29448.75"
"02 Dec 2020","29876.70","29886.25","29149.90","29463.15"
"01 Dec 2020","29844.80","29919.75","29511.00","29817.85"
"27 Nov 2020","29622.00","29716.85","29368.70","29609.05"
"26 Nov 2020","29370.40","29623.00","28923.10","29549.75"
"25 Nov 2020","30021.90","30197.85","29132.30","29196.40"
"24 Nov 2020","29265.60","29827.80","29206.75","29737.25"
"23 Nov 2020","29432.80","29492.30","28852.90","29024.20"
"20 Nov 2020","28935.75","29406.70","28580.90","29236.00"
"19 Nov 2020","29302.60","29627.20","28819.55","28903.05"
"18 Nov 2020","29107.90","29784.75","29056.75","29749.85"
"17 Nov 2020","28792.25","29239.25","28722.90","29181.30"
"14 Nov 2020","28685.70","28752.45","28431.85","28594.30"
"13 Nov 2020","28108.70","28520.55","27703.30","28465.70"
"12 Nov 2020","28633.75","28672.90","28066.05","28278.80"
"11 Nov 2020","28713.15","29030.90","28211.10","28845.00"
"10 Nov 2020","28039.45","28802.50","27916.90","28606.00"
"09 Nov 2020","27088.95","27595.00","27068.95","27534.10"
"06 Nov 2020","26274.10","26853.45","26135.30","26798.95"
"05 Nov 2020","26174.80","26375.20","26000.05","26313.10"
"04 Nov 2020","25539.55","25891.00","25142.00","25771.60"
"03 Nov 2020","25108.00","25760.70","25085.70","25682.80"
"02 Nov 2020","24367.60","25139.00","24120.60","24892.50"
"30 Oct 2020","24090.15","24277.35","23612.70","23900.90"
"29 Oct 2020","24063.50","24339.10","23822.05","24092.00"
"28 Oct 2020","24737.85","24780.70","24057.95","24232.50"
"27 Oct 2020","24288.05","24809.65","23924.20","24769.50"
"26 Oct 2020","24525.80","24577.30","23867.75","24075.45"
"23 Oct 2020","24669.20","24764.15","24360.85","24478.30"
"22 Oct 2020","24447.35","24691.15","24250.20","24484.15"
"21 Oct 2020","24444.20","24823.60","24099.85","24635.05"
"20 Oct 2020","24117.35","24410.90","24039.85","24311.80"
"19 Oct 2020","23902.90","24320.95","23754.85","24266.75"
"16 Oct 2020","23219.85","23646.20","23148.95","23533.25"
"15 Oct 2020","23920.35","24087.85","22970.95","23072.40"
"14 Oct 2020","23353.15","23962.70","23149.45","23874.65"
"13 Oct 2020","23663.05","23775.15","23431.50","23492.20"
"12 Oct 2020","23955.60","24190.35","23552.60","23712.80"
"09 Oct 2020","23312.60","23904.10","23132.45","23846.80"
"08 Oct 2020","23150.25","23450.90","23063.60","23191.35"
"07 Oct 2020","22836.95","23036.20","22607.80","22964.80"
"06 Oct 2020","22673.05","22893.50","22521.05","22853.70"
"05 Oct 2020","22352.10","22768.55","22247.25","22370.95"
"01 Oct 2020","21685.25","22293.75","21664.15","22246.00"
"30 Sep 2020","21405.25","21549.35","21128.50","21451.80"
"29 Sep 2020","21770.90","21811.50","21280.60","21411.30"
"28 Sep 2020","21152.05","21708.85","21055.10","21665.50"
"25 Sep 2020","20740.80","21064.30","20430.70","20982.35"
"24 Sep 2020","20898.80","20955.60","20404.90","20456.85"
"23 Sep 2020","21350.80","21365.05","20821.00","21178.50"
"22 Sep 2020","21445.25","21473.35","20958.45","21139.10"
"21 Sep 2020","21983.40","22098.85","21274.30","21366.80"
