"Date","Open","High","Low","Close"
"08 Jul 2021","5285.85","5294.50","5144.50","5170.50"
"07 Jul 2021","5163.65","5300.60","5124.50","5286.45"
"06 Jul 2021","5194.20","5225.75","5153.15","5172.70"
"05 Jul 2021","5159.15","5200.95","5134.05","5189.60"
"02 Jul 2021","5220.40","5230.20","5114.95","5130.05"
"01 Jul 2021","5234.55","5255.40","5194.75","5207.40"
"30 Jun 2021","5256.95","5301.30","5204.00","5215.80"
"29 Jun 2021","5293.80","5308.95","5212.05","5226.05"
"28 Jun 2021","5253.05","5316.95","5206.85","5290.80"
"25 Jun 2021","5147.40","5250.30","5140.90","5223.95"
"24 Jun 2021","5082.15","5125.85","5059.00","5090.90"
"23 Jun 2021","5156.75","5175.65","5053.75","5061.80"
"22 Jun 2021","5150.05","5176.65","5104.60","5119.40"
"21 Jun 2021","4969.00","5119.50","4925.80","5105.20"
"18 Jun 2021","5086.75","5098.85","4858.80","5048.65"
"17 Jun 2021","5140.00","5216.35","5062.70","5095.10"
"16 Jun 2021","5338.15","5382.25","5195.70","5216.20"
"15 Jun 2021","5397.55","5412.75","5356.15","5368.95"
"14 Jun 2021","5369.75","5392.50","5200.25","5371.60"
"11 Jun 2021","5308.15","5421.35","5262.65","5406.80"
"10 Jun 2021","5247.70","5306.60","5244.70","5265.20"
"09 Jun 2021","5276.35","5306.75","5173.45","5209.45"
"08 Jun 2021","5327.30","5327.30","5189.90","5258.90"
"07 Jun 2021","5379.10","5421.50","5305.70","5315.50"
"04 Jun 2021","5259.45","5360.75","5235.50","5339.15"
"03 Jun 2021","5275.50","5322.40","5234.65","5268.05"
"02 Jun 2021","5126.20","5252.75","5124.30","5233.30"
"01 Jun 2021","5181.85","5186.45","5034.65","5121.65"
"31 May 2021","5081.10","5176.70","5035.10","5161.80"
"28 May 2021","5145.70","5188.55","5032.50","5055.75"
"27 May 2021","5017.15","5095.25","4987.30","5043.30"
"26 May 2021","5062.05","5070.70","4987.25","5004.75"
"25 May 2021","5117.55","5187.75","5089.80","5099.40"
"21 May 2021","5119.45","5147.85","5090.20","5099.15"
"20 May 2021","5154.25","5164.50","5040.20","5077.35"
"19 May 2021","5279.45","5318.90","5218.65","5245.95"
"18 May 2021","5305.30","5365.65","5231.90","5294.40"
"17 May 2021","5117.95","5222.45","5036.25","5207.75"
"14 May 2021","5332.55","5332.55","4984.40","5091.35"
"12 May 2021","5479.85","5518.00","5228.05","5290.45"
"11 May 2021","5390.95","5524.25","5337.15","5452.65"
"10 May 2021","5425.40","5519.05","5405.45","5503.35"
"07 May 2021","5180.95","5387.10","5176.35","5335.85"
"06 May 2021","4980.25","5118.20","4964.60","5095.00"
"05 May 2021","4979.45","5006.65","4904.95","4970.15"
"04 May 2021","4994.55","5048.30","4886.35","4921.65"
"03 May 2021","4825.80","4973.20","4786.05","4952.45"
"30 Apr 2021","4819.60","4936.50","4791.65","4847.95"
"29 Apr 2021","4698.95","4868.90","4695.10","4855.30"
"28 Apr 2021","4690.85","4690.85","4598.15","4645.05"
"27 Apr 2021","4567.50","4668.00","4562.50","4659.25"
"26 Apr 2021","4491.00","4582.15","4488.85","4536.30"
"23 Apr 2021","4471.75","4528.20","4396.65","4446.85"
"22 Apr 2021","4380.60","4497.70","4367.55","4460.90"
"20 Apr 2021","4420.95","4457.35","4332.70","4384.40"
"19 Apr 2021","4302.35","4403.65","4266.85","4366.10"
"16 Apr 2021","4422.30","4500.85","4394.50","4434.00"
"15 Apr 2021","4378.10","4463.75","4318.70","4397.45"
"13 Apr 2021","4215.25","4347.35","4200.25","4337.90"
"12 Apr 2021","4372.65","4378.45","4166.45","4196.00"
"09 Apr 2021","4510.20","4550.45","4399.30","4467.30"
"08 Apr 2021","4365.35","4588.85","4363.05","4494.95"
"07 Apr 2021","4306.70","4363.50","4296.10","4325.45"
"06 Apr 2021","4266.35","4305.50","4231.45","4286.95"
"05 Apr 2021","4206.10","4241.85","4101.15","4226.40"
"01 Apr 2021","4010.50","4204.40","4008.75","4189.15"
"31 Mar 2021","3954.80","4025.40","3931.75","3977.20"
"30 Mar 2021","3914.25","3984.65","3907.75","3963.00"
"26 Mar 2021","3764.05","3878.40","3755.70","3855.30"
"25 Mar 2021","3729.35","3751.55","3614.40","3718.30"
"24 Mar 2021","3803.75","3810.45","3706.65","3717.55"
"23 Mar 2021","3877.25","3894.90","3828.70","3841.95"
"22 Mar 2021","3835.00","3877.10","3803.20","3867.45"
"19 Mar 2021","3733.95","3860.00","3631.15","3832.50"
"18 Mar 2021","3795.65","3837.65","3722.60","3754.35"
"17 Mar 2021","3842.75","3844.40","3737.80","3752.70"
"16 Mar 2021","3900.95","3903.55","3814.95","3847.25"
"15 Mar 2021","3845.50","3890.35","3785.05","3880.05"
"12 Mar 2021","3924.25","3950.55","3806.30","3840.20"
"10 Mar 2021","3838.00","3886.25","3786.60","3873.65"
"09 Mar 2021","3938.20","3953.75","3760.85","3802.70"
"08 Mar 2021","3922.15","3947.35","3891.7","3900.80"
"05 Mar 2021","3947.55","3955.40","3827.65","3869.40"
"04 Mar 2021","3964.85","4014.95","3934.60","3976.85"
"03 Mar 2021","3964.50","4075.40","3964.10","4058.60"
"02 Mar 2021","3911.95","3939.80","3875.30","3927.60"
"01 Mar 2021","3877.25","3917.60","3811.35","3896.95"
"26 Feb 2021","3859.65","3939.60","3795.60","3822.65"
"25 Feb 2021","3825.60","3945.80","3821.65","3928.60"
"24 Feb 2021","3781.80","3832.05","3740.90","3778.65"
"23 Feb 2021","3648.20","3769.50","3609.75","3749.55"
"22 Feb 2021","3561.55","3682.05","3558.85","3609.10"
"19 Feb 2021","3620.05","3629.05","3499.00","3552.10"
"18 Feb 2021","3590.35","3644.80","3578.90","3623.05"
"17 Feb 2021","3561.50","3590.85","3533.75","3576.05"
"16 Feb 2021","3479.40","3615.25","3477.35","3570.15"
"15 Feb 2021","3508.25","3513.40","3463.15","3469.95"
"12 Feb 2021","3549.05","3549.20","3474.35","3486.25"
"11 Feb 2021","3502.35","3569.15","3488.30","3546.70"
"10 Feb 2021","3548.55","3573.95","3464.95","3510.85"
"09 Feb 2021","3564.45","3593.15","3484.95","3513.65"
"08 Feb 2021","-","-","-","3552.45"
"05 Feb 2021","3427.80","3466.80","3345.30","3443.15"
"04 Feb 2021","3356.00","3426.60","3337.70","3409.55"
"03 Feb 2021","3288.65","3388.95","3278.90","3344.40"
"02 Feb 2021","3264.20","3301.25","3226.05","3289.10"
"01 Feb 2021","-","-","-","3227.25"
"29 Jan 2021","3175.60","3183.60","3062.70","3077.45"
"28 Jan 2021","3105.85","3155.10","3104.20","3138.10"
"27 Jan 2021","3230.90","3230.90","3146.50","3154.80"
"25 Jan 2021","3276.00","3304.00","3165.15","3236.35"
"22 Jan 2021","3372.05","3382.75","3212.20","3231.45"
"21 Jan 2021","3448.95","3462.70","3338.30","3362.15"
"20 Jan 2021","3420.85","3456.70","3399.10","3437.00"
"19 Jan 2021","3342.15","3416.95","3309.95","3405.20"
"18 Jan 2021","3449.90","3453.80","3283.55","3308.50"
"15 Jan 2021","3501.10","3528.10","3420.40","3449.15"
"14 Jan 2021","3521.05","3533.95","3471.10","3487.40"
"13 Jan 2021","3539.35","3575.60","3460.25","3523.25"
"12 Jan 2021","3485.50","3586.90","3473.25","3509.90"
"11 Jan 2021","3532.70","3537.40","3451.85","3493.90"
"08 Jan 2021","3577.50","3581.85","3498.60","3529.20"
"07 Jan 2021","3457.65","3571.55","3455.30","3550.45"
"06 Jan 2021","3390.20","3455.10","3368.50","3419.80"
"05 Jan 2021","3400.25","3406.90","3351.10","3376.25"
"04 Jan 2021","3291.50","3442.00","3287.10","3424.60"
"01 Jan 2021","3255.35","3270.45","3242.10","3258.85"
"31 Dec 2020","3224.00","3284.50","3212.20","3254.65"
"30 Dec 2020","3204.90","3243.70","3163.70","3230.90"
"29 Dec 2020","3252.60","3255.20","3170.35","3189.85"
"28 Dec 2020","3181.40","3232.50","3173.75","3224.85"
"24 Dec 2020","3158.05","3223.90","3134.25","3144.30"
"23 Dec 2020","3078.25","3143.30","3051.95","3134.10"
"22 Dec 2020","3040.45","3107.70","2980.25","3079.65"
"21 Dec 2020","3188.85","3214.75","2981.15","3038.25"
"18 Dec 2020","3237.85","3244.90","3181.70","3216.60"
"17 Dec 2020","3272.15","3289.30","3213.60","3227.70"
"16 Dec 2020","3248.45","3277.95","3236.45","3271.75"
