"Date","Open","High","Low","Close"
"08 Jul 2021","14424.15","14484.30","14240.30","14269.30"
"07 Jul 2021","14354.00","14471.40","14320.20","14453.20"
"06 Jul 2021","14519.35","14539.65","14377.05","14406.95"
"05 Jul 2021","14575.35","14597.90","14500.60","14528.50"
"02 Jul 2021","14489.95","14575.30","14461.05","14529.65"
"01 Jul 2021","14327.40","14465.35","14294.40","14442.45"
"30 Jun 2021","14379.20","14422.45","14288.15","14308.90"
"29 Jun 2021","14241.80","14353.25","14205.60","14330.20"
"28 Jun 2021","14120.35","14308.90","14095.00","14247.60"
"25 Jun 2021","13982.90","14133.45","13968.95","14069.60"
"24 Jun 2021","14019.25","14058.65","13900.05","13967.95"
"23 Jun 2021","14115.45","14179.60","14003.80","14018.05"
"22 Jun 2021","14126.10","14146.10","14028.15","14095.00"
"21 Jun 2021","13949.55","14103.20","13899.65","14082.95"
"18 Jun 2021","14110.50","14194.90","13855.10","14030.60"
"17 Jun 2021","14193.45","14245.85","13987.05","14081.60"
"16 Jun 2021","14336.10","14354.00","14183.10","14215.70"
"15 Jun 2021","14464.50","14505.00","14309.55","14322.65"
"14 Jun 2021","14447.75","14525.35","14217.45","14449.60"
"11 Jun 2021","14331.95","14530.95","14300.10","14464.05"
"10 Jun 2021","14140.90","14369.35","14138.50","14313.90"
"09 Jun 2021","14220.35","14362.45","14046.75","14118.90"
"08 Jun 2021","14064.40","14207.30","13920.20","14189.85"
"07 Jun 2021","14126.95","14151.20","14049.05","14069.00"
"04 Jun 2021","14150.25","14156.65","14050.45","14101.55"
"03 Jun 2021","14176.25","14206.95","14079.65","14114.40"
"02 Jun 2021","14058.10","14189.50","14052.25","14151.85"
"01 Jun 2021","14086.05","14109.05","13939.45","14058.05"
"31 May 2021","14001.20","14074.75","13849.30","14051.75"
"28 May 2021","14092.35","14098.40","13893.55","13934.10"
"27 May 2021","14157.10","14169.70","14022.75","14100.05"
"26 May 2021","14138.75","14228.60","14088.30","14127.25"
"25 May 2021","14120.90","14127.60","14025.95","14090.10"
"21 May 2021","14036.75","14085.65","13974.45","13993.70"
"20 May 2021","14025.35","14056.20","13903.10","13970.20"
"19 May 2021","13859.60","14039.10","13839.20","14001.35"
"18 May 2021","13934.35","13995.35","13804.70","13832.40"
"17 May 2021","13921.30","13958.60","13741.25","13858.70"
"14 May 2021","14141.10","14252.35","13848.95","13885.50"
"12 May 2021","14135.10","14224.50","14000.10","14065.05"
"11 May 2021","14112.65","14282.90","14013.25","14066.65"
"10 May 2021","13965.50","14228.40","13861.45","14131.85"
"07 May 2021","13799.25","13924.70","13718.65","13747.10"
"06 May 2021","13897.55","13960.80","13651.20","13747.75"
"05 May 2021","13293.00","13809.15","13210.50","13779.70"
"04 May 2021","13573.85","13573.85","13200.70","13234.75"
"03 May 2021","13502.65","13580.50","13408.20","13507.45"
"30 Apr 2021","13271.35","13619.55","13263.35","13469.25"
"29 Apr 2021","13301.85","13401.50","13222.60","13298.65"
"28 Apr 2021","13347.65","13367.40","13227.20","13252.95"
"27 Apr 2021","13247.55","13310.65","13145.05","13296.75"
"26 Apr 2021","13418.60","13418.60","13186.25","13203.85"
"23 Apr 2021","13373.10","13476.55","13169.00","13319.75"
"22 Apr 2021","13496.55","13633.40","13347.20","13378.95"
"20 Apr 2021","13426.05","13583.05","13324.25","13426.90"
"19 Apr 2021","13233.20","13342.25","12999.80","13256.25"
"16 Apr 2021","13016.45","13309.70","12892.00","13234.25"
"15 Apr 2021","12914.65","13054.50","12798.60","12987.05"
"13 Apr 2021","13155.00","13205.50","12733.00","12807.50"
"12 Apr 2021","13026.30","13301.60","12758.65","12961.85"
"09 Apr 2021","12603.60","13074.00","12582.60","12995.35"
"08 Apr 2021","12630.15","12739.05","12592.75","12611.70"
"07 Apr 2021","12597.00","12695.10","12549.50","12616.35"
"06 Apr 2021","12345.10","12562.10","12321.70","12548.60"
"05 Apr 2021","12383.55","12383.55","12129.25","12331.50"
"01 Apr 2021","12319.00","12400.55","12273.60","12377.10"
"31 Mar 2021","12231.05","12327.40","12191.90","12272.60"
"30 Mar 2021","11989.10","12219.60","11958.00","12206.60"
"26 Mar 2021","11887.90","11944.15","11765.70","11883.20"
"25 Mar 2021","11929.45","11986.35","11717.35","11816.80"
"24 Mar 2021","11874.00","12056.25","11850.90","11916.30"
"23 Mar 2021","11869.10","11943.35","11811.30","11907.20"
"22 Mar 2021","11685.10","11884.75","11669.05","11850.75"
"19 Mar 2021","11466.70","11705.95","11280.80","11667.10"
"18 Mar 2021","11830.95","11849.20","11466.95","11514.45"
"17 Mar 2021","12028.70","12032.50","11747.60","11787.50"
"16 Mar 2021","12059.20","12099.90","11953.25","12013.00"
"15 Mar 2021","12213.75","12215.15","11848.30","12024.50"
"12 Mar 2021","12365.80","12377.30","12148.55","12184.25"
"10 Mar 2021","12218.45","12335.90","12180.15","12313.25"
"09 Mar 2021","12316.80","12333.25","12053.10","12133.85"
"08 Mar 2021","12224.3","12347.85","12202.3","12239.85"
"05 Mar 2021","12320.80","12336.00","12150.45","12192.75"
"04 Mar 2021","12315.85","12447.30","12265.85","12351.75"
"03 Mar 2021","12347.50","12399.15","12236.05","12379.60"
"02 Mar 2021","12156.30","12273.95","12099.85","12257.30"
"01 Mar 2021","12007.20","12126.40","11949.75","12092.70"
"26 Feb 2021","12043.60","12322.10","11860.70","11927.90"
"25 Feb 2021","12097.35","12291.75","12058.20","12141.70"
"24 Feb 2021","12101.30","12135.45","11916.80","12035.85"
"23 Feb 2021","12059.35","12122.35","11935.25","12029.50"
"22 Feb 2021","12365.80","12387.05","11950.45","12032.30"
"19 Feb 2021","12499.90","12545.70","12236.15","12347.40"
"18 Feb 2021","12593.50","12648.10","12491.05","12517.50"
"17 Feb 2021","12794.90","12837.10","12551.25","12584.35"
"16 Feb 2021","12789.05","12821.00","12695.15","12804.15"
"15 Feb 2021","12817.95","12863.30","12723.40","12745.10"
"12 Feb 2021","13012.35","13013.75","12738.35","12785.75"
"11 Feb 2021","12833.65","12961.95","12807.60","12929.80"
"10 Feb 2021","12842.70","12945.80","12689.40","12905.55"
"09 Feb 2021","12954.85","13013.10","12771.05","12812.80"
"08 Feb 2021","-","-","-","12971.00"
"05 Feb 2021","12812.75","13041.00","12669.60","12950.65"
"04 Feb 2021","12772.25","12866.55","12661.90","12739.05"
